symbol,Date,quote_time,ask_price,norm_ask_price,ask_size,bid_price,norm_bid_price,bid_size,last_trade_price,norm_last_trade_price,last_trade_size,mark_price,norm_mark_price,volume,Volume
SPY190729C303,2019-07-26,2019-07-26 09:38:10,0.14,1.0,5599,0.13,0.9285,240,0.13,0.9285,9,0.135,0.9642,5210,5210
SPY190729C303,2019-07-26,2019-07-26 09:38:11,0.14,1.0,5599,0.13,0.9285,240,0.13,0.9285,9,0.135,0.9642,5210,0
SPY190729C303,2019-07-26,2019-07-26 09:38:11,0.14,1.0,3987,0.13,0.9285,240,0.13,0.9285,9,0.135,0.9642,5210,0
SPY190729C303,2019-07-26,2019-07-26 09:38:12,0.14,1.0,6021,0.12,0.8571,2528,0.13,0.9285,9,0.13,0.9285,5210,0
SPY190729C303,2019-07-26,2019-07-26 09:38:12,0.13,0.9285,2150,0.12,0.8571,2062,0.13,0.9285,9,0.125,0.8928,5210,0
SPY190729C303,2019-07-26,2019-07-26 09:38:13,0.13,0.9285,1025,0.12,0.8571,2478,0.13,0.9285,9,0.125,0.8928,5210,0
SPY190729C303,2019-07-26,2019-07-26 09:38:14,0.13,0.9285,1025,0.12,0.8571,2665,0.13,0.9285,9,0.125,0.8928,5210,0
SPY190729C303,2019-07-26,2019-07-26 09:38:15,0.13,0.9285,1025,0.12,0.8571,2665,0.13,0.9285,9,0.125,0.8928,5210,0
SPY190729C303,2019-07-26,2019-07-26 09:38:16,0.13,0.9285,1025,0.12,0.8571,2615,0.13,0.9285,9,0.125,0.8928,5210,0
SPY190729C303,2019-07-26,2019-07-26 09:38:16,0.13,0.9285,1165,0.12,0.8571,2615,0.13,0.9285,9,0.125,0.8928,5210,0
SPY190729C303,2019-07-26,2019-07-26 09:38:17,0.13,0.9285,1433,0.12,0.8571,2504,0.13,0.9285,9,0.125,0.8928,5210,0
SPY190729C303,2019-07-26,2019-07-26 09:38:17,0.13,0.9285,2536,0.12,0.8571,3660,0.13,0.9285,9,0.125,0.8928,5210,0
SPY190729C303,2019-07-26,2019-07-26 09:38:18,0.13,0.9285,2289,0.12,0.8571,1888,0.13,0.9285,9,0.125,0.8928,5210,0
SPY190729C303,2019-07-26,2019-07-26 09:38:18,0.13,0.9285,1819,0.12,0.8571,2504,0.13,0.9285,9,0.125,0.8928,5210,0
SPY190729C303,2019-07-26,2019-07-26 09:38:19,0.13,0.9285,2212,0.12,0.8571,1120,0.13,0.9285,9,0.125,0.8928,5210,0
SPY190729C303,2019-07-26,2019-07-26 09:38:20,0.13,0.9285,1915,0.12,0.8571,1438,0.13,0.9285,9,0.125,0.8928,5210,0
SPY190729C303,2019-07-26,2019-07-26 09:38:20,0.13,0.9285,3456,0.12,0.8571,1360,0.13,0.9285,9,0.125,0.8928,5210,0
SPY190729C303,2019-07-26,2019-07-26 09:38:21,0.13,0.9285,3758,0.12,0.8571,933,0.13,0.9285,9,0.125,0.8928,5210,0
SPY190729C303,2019-07-26,2019-07-26 09:38:21,0.13,0.9285,5203,0.12,0.8571,192,0.13,0.9285,9,0.125,0.8928,5210,0
SPY190729C303,2019-07-26,2019-07-26 09:38:22,0.13,0.9285,3471,0.11,0.7857,3990,0.13,0.9285,9,0.12,0.8571,5210,0
SPY190729C303,2019-07-26,2019-07-26 09:38:22,0.13,0.9285,5714,0.12,0.8571,256,0.13,0.9285,9,0.125,0.8928,5210,0
SPY190729C303,2019-07-26,2019-07-26 09:38:23,0.12,0.8571,84,0.11,0.7857,4678,0.13,0.9285,9,0.115,0.8214,5210,0
SPY190729C303,2019-07-26,2019-07-26 09:38:24,0.12,0.8571,77,0.11,0.7857,4666,0.13,0.9285,9,0.115,0.8214,5210,0
SPY190729C303,2019-07-26,2019-07-26 09:38:25,0.12,0.8571,91,0.11,0.7857,4252,0.13,0.9285,9,0.115,0.8214,5210,0
SPY190729C303,2019-07-26,2019-07-26 09:38:25,0.12,0.8571,653,0.11,0.7857,4252,0.13,0.9285,9,0.115,0.8214,5210,0
SPY190729C303,2019-07-26,2019-07-26 09:38:26,0.12,0.8571,653,0.11,0.7857,2989,0.11,0.7857,1,0.115,0.8214,5211,0
SPY190729C303,2019-07-26,2019-07-26 09:38:26,0.12,0.8571,653,0.11,0.7857,2989,0.11,0.7857,1,0.115,0.8214,5211,1
SPY190729C303,2019-07-26,2019-07-26 09:38:27,0.12,0.8571,1318,0.11,0.7857,1743,0.11,0.7857,1,0.115,0.8214,5211,0
SPY190729C303,2019-07-26,2019-07-26 09:38:27,0.12,0.8571,1082,0.11,0.7857,1777,0.11,0.7857,1,0.115,0.8214,5211,0
SPY190729C303,2019-07-26,2019-07-26 09:38:28,0.12,0.8571,2092,0.11,0.7857,2119,0.11,0.7857,1,0.115,0.8214,5211,0
SPY190729C303,2019-07-26,2019-07-26 09:38:29,0.12,0.8571,1353,0.11,0.7857,700,0.11,0.7857,1,0.115,0.8214,5211,0
SPY190729C303,2019-07-26,2019-07-26 09:38:29,0.12,0.8571,1391,0.11,0.7857,2069,0.11,0.7857,1,0.115,0.8214,5211,0
SPY190729C303,2019-07-26,2019-07-26 09:38:30,0.12,0.8571,1989,0.11,0.7857,602,0.11,0.7857,1,0.115,0.8214,5211,0
SPY190729C303,2019-07-26,2019-07-26 09:38:30,0.12,0.8571,2314,0.11,0.7857,933,0.11,0.7857,1,0.115,0.8214,5211,0
SPY190729C303,2019-07-26,2019-07-26 09:38:31,0.12,0.8571,5265,0.11,0.7857,227,0.11,0.7857,1,0.115,0.8214,5211,0
SPY190729C303,2019-07-26,2019-07-26 09:38:31,0.12,0.8571,3474,0.11,0.7857,227,0.11,0.7857,1,0.115,0.8214,5211,0
SPY190729C303,2019-07-26,2019-07-26 09:38:32,0.12,0.8571,4801,0.11,0.7857,282,0.11,0.7857,1,0.115,0.8214,5211,0
SPY190729C303,2019-07-26,2019-07-26 09:38:32,0.12,0.8571,5013,0.11,0.7857,282,0.11,0.7857,1,0.115,0.8214,5211,0
SPY190729C303,2019-07-26,2019-07-26 09:38:33,0.12,0.8571,5330,0.11,0.7857,282,0.11,0.7857,1,0.115,0.8214,5211,0
SPY190729C303,2019-07-26,2019-07-26 09:38:34,0.12,0.8571,3364,0.11,0.7857,286,0.11,0.7857,1,0.115,0.8214,5211,0
SPY190729C303,2019-07-26,2019-07-26 09:38:34,0.12,0.8571,4003,0.11,0.7857,286,0.11,0.7857,1,0.115,0.8214,5211,0
SPY190729C303,2019-07-26,2019-07-26 09:38:35,0.12,0.8571,5036,0.11,0.7857,277,0.11,0.7857,1,0.115,0.8214,5211,0
SPY190729C303,2019-07-26,2019-07-26 09:38:35,0.12,0.8571,2460,0.11,0.7857,277,0.11,0.7857,1,0.115,0.8214,5211,0
SPY190729C303,2019-07-26,2019-07-26 09:38:36,0.12,0.8571,2216,0.11,0.7857,277,0.11,0.7857,1,0.115,0.8214,5212,1
SPY190729C303,2019-07-26,2019-07-26 09:38:37,0.11,0.7857,2757,0.1,0.7142,744,0.11,0.7857,1,0.105,0.75,5212,0
SPY190729C303,2019-07-26,2019-07-26 09:38:37,0.11,0.7857,2050,0.1,0.7142,744,0.11,0.7857,1,0.105,0.75,5212,0
SPY190729C303,2019-07-26,2019-07-26 09:38:38,0.11,0.7857,2607,0.1,0.7142,1721,0.11,0.7857,1,0.105,0.75,5212,0
SPY190729C303,2019-07-26,2019-07-26 09:38:38,0.11,0.7857,2607,0.1,0.7142,1005,0.11,0.7857,1,0.105,0.75,5212,0
SPY190729C303,2019-07-26,2019-07-26 09:38:39,0.11,0.7857,2443,0.1,0.7142,1721,0.11,0.7857,1,0.105,0.75,5212,0
SPY190729C303,2019-07-26,2019-07-26 09:38:40,0.11,0.7857,2556,0.1,0.7142,1721,0.11,0.7857,1,0.105,0.75,5212,0
SPY190729C303,2019-07-26,2019-07-26 09:38:40,0.11,0.7857,2556,0.1,0.7142,1736,0.11,0.7857,1,0.105,0.75,5212,0
SPY190729C303,2019-07-26,2019-07-26 09:38:41,0.11,0.7857,2556,0.1,0.7142,1736,0.11,0.7857,1,0.105,0.75,5212,0
SPY190729C303,2019-07-26,2019-07-26 09:38:41,0.11,0.7857,2556,0.1,0.7142,1621,0.11,0.7857,1,0.105,0.75,5212,0
SPY190729C303,2019-07-26,2019-07-26 09:38:42,0.11,0.7857,2556,0.1,0.7142,1621,0.11,0.7857,1,0.105,0.75,5212,0
SPY190729C303,2019-07-26,2019-07-26 09:38:43,0.11,0.7857,2556,0.1,0.7142,1846,0.11,0.7857,1,0.105,0.75,5212,0
SPY190729C303,2019-07-26,2019-07-26 09:38:44,0.11,0.7857,2556,0.1,0.7142,1846,0.11,0.7857,1,0.105,0.75,5212,0
SPY190729C303,2019-07-26,2019-07-26 09:38:45,0.11,0.7857,2556,0.1,0.7142,1846,0.11,0.7857,1,0.105,0.75,5212,0
SPY190729C303,2019-07-26,2019-07-26 09:38:46,0.11,0.7857,2556,0.1,0.7142,1846,0.11,0.7857,1,0.105,0.75,5212,0
SPY190729C303,2019-07-26,2019-07-26 09:38:47,0.11,0.7857,1866,0.1,0.7142,1956,0.11,0.7857,1,0.105,0.75,5212,0
SPY190729C303,2019-07-26,2019-07-26 09:38:47,0.11,0.7857,1866,0.1,0.7142,2257,0.11,0.7857,1,0.105,0.75,5212,0
SPY190729C303,2019-07-26,2019-07-26 09:38:48,0.11,0.7857,1761,0.1,0.7142,3001,0.11,0.7857,1,0.105,0.75,5212,0
SPY190729C303,2019-07-26,2019-07-26 09:38:49,0.11,0.7857,720,0.1,0.7142,2274,0.11,0.7857,1,0.105,0.75,5212,0
SPY190729C303,2019-07-26,2019-07-26 09:38:49,0.11,0.7857,1564,0.1,0.7142,2274,0.11,0.7857,1,0.105,0.75,5212,0
SPY190729C303,2019-07-26,2019-07-26 09:38:50,0.11,0.7857,2397,0.1,0.7142,2274,0.11,0.7857,1,0.105,0.75,5212,0
SPY190729C303,2019-07-26,2019-07-26 09:38:51,0.11,0.7857,2397,0.1,0.7142,3083,0.11,0.7857,1,0.105,0.75,5212,0
SPY190729C303,2019-07-26,2019-07-26 09:38:52,0.11,0.7857,2397,0.1,0.7142,3885,0.11,0.7857,1,0.105,0.75,5212,0
