symbol,Date,quote_time,ask_price,norm_ask_price,ask_size,bid_price,norm_bid_price,bid_size,last_trade_price,norm_last_trade_price,last_trade_size,mark_price,norm_mark_price,volume,Volume
IWM191122P157,2019-11-15,2019-11-15 09:30:00,0.68,0.7391,1,0.44,0.4782,1,0.59,0.6413,10,0.56,0.6086,10,-7577
IWM191122P157,2019-11-15,2019-11-15 09:30:00,0.92,1.0,141,0.89,0.9673,497,0.9,0.9782,1,0.905,0.9836,7587,7587
IWM191122P157,2019-11-15,2019-11-15 09:30:01,0.68,0.7391,1,0.44,0.4782,1,0.59,0.6413,10,0.56,0.6086,10,0
IWM191122P157,2019-11-15,2019-11-15 09:30:02,0.6,0.6521,253,0.44,0.4782,1,0.59,0.6413,10,0.52,0.5652,10,0
IWM191122P157,2019-11-15,2019-11-15 09:30:03,0.6,0.6521,253,0.46,0.5,100,0.59,0.6413,10,0.53,0.576,10,0
IWM191122P157,2019-11-15,2019-11-15 09:30:03,0.58,0.6304,41,0.52,0.5652,41,0.59,0.6413,10,0.55,0.5978,10,0
IWM191122P157,2019-11-15,2019-11-15 09:30:04,0.58,0.6304,41,0.52,0.5652,41,0.59,0.6413,10,0.55,0.5978,10,0
IWM191122P157,2019-11-15,2019-11-15 09:30:04,0.58,0.6304,10,0.53,0.576,41,0.59,0.6413,10,0.555,0.6032,10,0
IWM191122P157,2019-11-15,2019-11-15 09:30:05,0.59,0.6413,51,0.53,0.576,41,0.59,0.6413,10,0.56,0.6086,10,0
IWM191122P157,2019-11-15,2019-11-15 09:30:05,0.59,0.6413,41,0.53,0.576,41,0.59,0.6413,10,0.56,0.6086,10,0
IWM191122P157,2019-11-15,2019-11-15 09:30:06,0.59,0.6413,541,0.53,0.576,41,0.59,0.6413,10,0.56,0.6086,10,0
IWM191122P157,2019-11-15,2019-11-15 09:30:06,0.59,0.6413,51,0.53,0.576,41,0.59,0.6413,10,0.56,0.6086,10,0
IWM191122P157,2019-11-15,2019-11-15 09:30:07,0.58,0.6304,67,0.52,0.5652,41,0.59,0.6413,10,0.55,0.5978,10,0
IWM191122P157,2019-11-15,2019-11-15 09:30:08,0.58,0.6304,67,0.52,0.5652,41,0.59,0.6413,10,0.55,0.5978,10,0
IWM191122P157,2019-11-15,2019-11-15 09:30:09,0.58,0.6304,67,0.52,0.5652,41,0.59,0.6413,10,0.55,0.5978,10,0
IWM191122P157,2019-11-15,2019-11-15 09:30:10,0.56,0.6086,23,0.52,0.5652,63,0.59,0.6413,10,0.54,0.5869,10,0
IWM191122P157,2019-11-15,2019-11-15 09:30:11,0.56,0.6086,23,0.53,0.576,63,0.59,0.6413,10,0.545,0.5923,10,0
